uid	code	category	long_description	short_description
900351	X1		Continuous/broad services: for reporting services by clinicians, who provide the principal care for a patient, with no planned endpoint of the relationship; services in this category represent comprehensive care, dealing with the entire scope of patient problems, either directly or in a care coordination role; reporting clinician service examples include, but are not limited to: primary care, and clinicians providing comprehensive care to patients in addition to specialty care	Continuous/broad services
900352	X2		Continuous/focused services: for reporting services by clinicians whose expertise is needed for the ongoing management of a chronic disease or a condition that needs to be managed and followed with no planned endpoint to the relationship; reporting clinician service examples include but are not limited to: a rheumatologist taking care of the patient's rheumatoid arthritis longitudinally but not providing general primary care services	Continuous/focused services
900353	X3		Episodic/broad servies: for reporting services by clinicians who have broad responsibility for the comprehensive needs of the patient that is limited to a defined period and circumstance such as a hospitalization; reporting clinician service examples include but are not limited to the hospitalist's services rendered providing comprehensive and general care to a patient while admitted to the hospital	Episodic/broad services
900354	X4		Episodic/focused services: for reporting services by clinicians who provide focused care on particular types of treatment limited to a defined period and circumstance; the patient has a problem, acute or chronic, that will be treated with surgery, radiation, or some other type of generally time-limited intervention; reporting clinician service examples include but are not limited to, the orthopedic surgeon performing a knee replacement and seeing the patient through the postoperative period	Episodic/focused services
900355	X5		Diagnostic services requested by another clinician: for reporting services by a clinician who furnishes care to the patient only as requested by another clinician or subsequent and related services requested by another clinician; this modifier is reported for patient relationships that may not be adequately captured by the above alternative categories; reporting clinician service examples include but are not limited to, the radiologist's interpretation of an imaging study requested by another clinician	Svc req by another clinician
900356	XE		Separate encounter, a service that is distinct because it occurred during a separate encounter	Separate encounter
900357	XP		Separate practitioner, a service that is distinct because it was performed by a different practitioner	Separate practitioner
900358	XS		Separate structure, a service that is distinct because it was performed on a separate organ/structure	Separate organ/structure
900359	XU		Unusual non-overlapping service, the use of a service that is distinct because it does not overlap usual components of the main service	Unusual separate service
900360	ZA		Novartis/sandoz	Novartis/sandoz
900361	ZB		Pfizer/hospira	Pfizer/hospira
900362	ZC		Merck/samsung bioepis	Merck/samsung bioepis
900363	A0021		Ambulance service, outside state per mile, transport (medicaid only)	Outside state ambulance serv
900364	A0080		Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest	Noninterest escort in non er
900365	A0090		Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest	Interest escort in non er
900366	A0100		Non-emergency transportation; taxi	Nonemergency transport taxi
900367	A0110		Non-emergency transportation and bus, intra or inter state carrier	Nonemergency transport bus
900368	A0120		Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems	Noner transport mini-bus
900369	A0130		Non-emergency transportation: wheelchair van	Noner transport wheelch van
900370	A0140		Non-emergency transportation and air travel (private or commercial) intra or inter state	Nonemergency transport air
900371	A0160		Non-emergency transportation: per mile - case worker or social worker	Noner transport case worker
900372	A0170		Transportation ancillary: parking fees, tolls, other	Transport parking fees/tolls
900373	A0180		Non-emergency transportation: ancillary: lodging-recipient	Noner transport lodgng recip
900374	A0190		Non-emergency transportation: ancillary: meals-recipient	Noner transport meals recip
900375	A0200		Non-emergency transportation: ancillary: lodging escort	Noner transport lodgng escrt
900376	A0210		Non-emergency transportation: ancillary: meals-escort	Noner transport meals escort
900377	A0225		Ambulance service, neonatal transport, base rate, emergency transport, one way	Neonatal emergency transport
900378	A0380		Bls mileage (per mile)	Basic life support mileage
900379	A0382		Bls routine disposable supplies	Basic support routine suppls
900380	A0384		Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances)	Bls defibrillation supplies
900381	A0390		Als mileage (per mile)	Advanced life support mileag
900382	A0392		Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances)	Als defibrillation supplies
900383	A0394		Als specialized service disposable supplies; iv drug therapy	Als iv drug therapy supplies
900384	A0396		Als specialized service disposable supplies; esophageal intubation	Als esophageal intub suppls
900385	A0398		Als routine disposable supplies	Als routine disposble suppls
900386	A0420		Ambulance waiting time (als or bls), one half (1/2) hour increments	Ambulance waiting 1/2 hr
900387	A0422		Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation	Ambulance 02 life sustaining
900388	A0424		Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)	Extra ambulance attendant
900389	A0425		Ground mileage, per statute mile	Ground mileage
900390	A0426		Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)	Als 1
900391	A0427		Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)	Als1-emergency
900392	A0428		Ambulance service, basic life support, non-emergency transport, (bls)	Bls
900393	A0429		Ambulance service, basic life support, emergency transport (bls-emergency)	Bls-emergency
900394	A0430		Ambulance service, conventional air services, transport, one way (fixed wing)	Fixed wing air transport
900395	A0431		Ambulance service, conventional air services, transport, one way (rotary wing)	Rotary wing air transport
900396	A0432		Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers	Pi volunteer ambulance co
900397	A0433		Advanced life support, level 2 (als 2)	Als 2
900398	A0434		Specialty care transport (sct)	Specialty care transport
900399	A0435		Fixed wing air mileage, per statute mile	Fixed wing air mileage
900400	A0436		Rotary wing air mileage, per statute mile	Rotary wing air mileage
900401	A0888		Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)	Noncovered ambulance mileage
900402	A0998		Ambulance response and treatment, no transport	Ambulance response/treatment
900403	A0999		Unlisted ambulance service	Unlisted ambulance service
900404	A4206		Syringe with needle, sterile, 1 cc or less, each	1 cc sterile syringe&needle
900405	A4207		Syringe with needle, sterile 2 cc, each	2 cc sterile syringe&needle
900406	A4208		Syringe with needle, sterile 3 cc, each	3 cc sterile syringe&needle
900407	A4209		Syringe with needle, sterile 5 cc or greater, each	5+ cc sterile syringe&needle
900408	A4210		Needle-free injection device, each	Nonneedle injection device
900409	A4211		Supplies for self-administered injections	Supp for self-adm injections
900410	A4212		Non-coring needle or stylet with or without catheter	Non coring needle or stylet
900411	A4213		Syringe, sterile, 20 cc or greater, each	20+ cc syringe only
900412	A4215		Needle, sterile, any size, each	Sterile needle
900413	A4216		Sterile water, saline and/or dextrose, diluent/flush, 10 ml	Sterile water/saline, 10 ml
